item_id,pedido_id,produto_id,quantidade,preco_unitario
167,64,10,3,4393.0
168,65,6,2,3094.29
169,66,6,3,3094.29
170,66,5,3,531.02
171,66,20,1,2581.14
172,66,13,1,3527.3
173,67,8,1,743.42
174,68,3,1,3495.35
175,68,17,2,4060.06
176,69,14,1,1829.48
177,69,8,1,743.42
178,69,14,1,1829.48
179,70,20,3,2581.14
180,70,19,2,4570.54
181,71,9,1,2615.73
182,71,12,3,3500.23
183,71,3,1,3495.35
184,72,17,3,4060.06
185,72,16,2,4056.34
186,72,16,2,4056.34
187,72,9,3,2615.73
188,73,14,1,1829.48
189,73,18,3,4342.01
190,74,10,1,4393.0
191,75,14,1,1829.48
192,75,13,1,3527.3
193,75,19,1,4570.54
194,75,4,1,2871.8
195,76,4,3,2871.8
196,76,8,1,743.42
197,76,14,2,1829.48
198,77,2,1,4683.97
199,77,20,2,2581.14
200,77,10,2,4393.0
201,77,14,2,1829.48
202,78,1,2,2806.17
203,78,18,1,4342.01
204,78,15,3,1503.28
205,79,7,1,4950.77
206,79,1,1,2806.17
207,79,4,3,2871.8
208,80,16,3,4056.34
209,80,10,1,4393.0
210,81,8,1,743.42
211,81,15,2,1503.28
212,82,13,2,3527.3
213,83,10,2,4393.0
214,83,14,2,1829.48
215,84,19,2,4570.54
216,84,15,3,1503.28
217,85,3,2,3495.35
218,85,6,1,3094.29
219,86,20,1,2581.14
220,87,10,3,4393.0
221,88,12,2,3500.23
222,88,17,1,4060.06
223,89,12,2,3500.23
224,90,13,1,3527.3
225,90,9,1,2615.73
226,90,17,2,4060.06
227,90,16,2,4056.34
228,91,3,3,3495.35
229,91,11,2,3716.8
230,91,15,2,1503.28
231,91,4,2,2871.8
232,92,8,2,743.42
233,92,19,2,4570.54
234,92,6,1,3094.29
235,92,3,2,3495.35
236,93,13,3,3527.3
237,93,12,3,3500.23
238,94,8,1,743.42
239,94,16,3,4056.34
240,95,18,1,4342.01
241,95,2,3,4683.97
242,96,4,3,2871.8
243,96,17,2,4060.06
244,96,17,3,4060.06
245,96,8,2,743.42
246,97,6,1,3094.29
247,97,19,1,4570.54
248,97,10,2,4393.0
249,97,19,1,4570.54
250,98,19,3,4570.54
251,98,16,2,4056.34
252,98,3,3,3495.35
253,99,14,2,1829.48
254,99,1,2,2806.17
255,99,18,3,4342.01
256,99,7,1,4950.77
257,100,17,2,4060.06
258,100,9,3,2615.73
259,100,16,1,4056.34
260,101,12,2,3500.23
261,102,2,1,4683.97
262,102,12,3,3500.23
263,103,7,3,4950.77
264,103,17,3,4060.06
265,103,16,1,4056.34
266,103,12,3,3500.23
267,104,7,1,4950.77
268,104,5,2,531.02
269,104,9,1,2615.73
270,104,3,3,3495.35
271,105,2,1,4683.97
272,106,2,2,4683.97
273,106,13,3,3527.3
274,106,18,2,4342.01
275,107,20,2,2581.14
276,107,1,1,2806.17
277,108,16,2,4056.34
278,108,5,2,531.02
279,108,16,3,4056.34
280,109,6,1,3094.29
281,110,6,3,3094.29
282,110,4,3,2871.8
283,110,15,1,1503.28
284,111,19,1,4570.54
285,111,10,1,4393.0
286,111,6,2,3094.29
287,112,20,1,2581.14
288,112,16,3,4056.34
289,113,7,2,4950.77
290,113,9,1,2615.73
291,113,14,2,1829.48
292,114,16,1,4056.34
293,114,15,1,1503.28
294,114,14,2,1829.48
295,114,3,1,3495.35
296,115,18,1,4342.01
297,115,14,1,1829.48
298,115,8,1,743.42
299,116,13,2,3527.3
300,117,11,2,3716.8
301,118,11,2,3716.8
302,118,9,3,2615.73
303,119,16,2,4056.34
304,120,20,3,2581.14
305,120,7,2,4950.77
306,121,15,3,1503.28
307,121,6,2,3094.29
308,122,11,1,3716.8
309,122,11,3,3716.8
310,123,1,2,2806.17
311,123,3,3,3495.35
312,123,14,2,1829.48
313,123,10,1,4393.0
314,124,16,1,4056.34
315,124,12,1,3500.23
316,125,13,1,3527.3
317,125,11,1,3716.8
318,126,18,1,4342.01
319,126,14,1,1829.48
320,126,14,3,1829.48
321,126,5,2,531.02
322,127,12,1,3500.23
323,128,9,3,2615.73
324,128,19,3,4570.54
325,128,15,2,1503.28
326,128,19,3,4570.54
327,129,8,1,743.42
328,129,4,2,2871.8
329,129,8,2,743.42
330,129,17,3,4060.06
331,130,20,1,2581.14
332,130,13,2,3527.3
333,131,8,3,743.42
334,131,15,1,1503.28
335,131,12,2,3500.23
336,132,18,1,4342.01
337,132,11,3,3716.8
338,132,6,1,3094.29
339,132,3,1,3495.35
340,133,20,2,2581.14
341,133,7,1,4950.77
342,133,20,3,2581.14
343,134,19,2,4570.54
344,134,15,1,1503.28
345,135,20,3,2581.14
346,135,6,3,3094.29
347,135,2,2,4683.97
348,136,11,2,3716.8
349,136,2,2,4683.97
350,137,20,2,2581.14
351,138,15,2,1503.28
352,139,3,3,3495.35
353,139,11,3,3716.8
354,139,4,3,2871.8
355,139,17,1,4060.06
356,140,7,3,4950.77
357,140,10,3,4393.0
358,141,10,2,4393.0
359,141,4,1,2871.8
360,141,8,3,743.42
361,141,17,3,4060.06
362,142,8,3,743.42
363,142,12,3,3500.23
364,142,8,2,743.42
365,142,2,2,4683.97
366,143,2,2,4683.97
367,143,14,3,1829.48
368,143,4,2,2871.8
369,144,9,1,2615.73
370,144,15,1,1503.28
371,144,14,1,1829.48
372,144,4,1,2871.8
373,145,19,3,4570.54
374,146,5,1,531.02
375,147,18,3,4342.01
376,148,12,1,3500.23
377,149,10,3,4393.0
378,149,11,1,3716.8
379,149,5,1,531.02
380,149,20,3,2581.14
381,150,17,2,4060.06
382,150,8,3,743.42
383,150,2,3,4683.97
384,151,11,3,3716.8
385,152,6,3,3094.29
386,152,17,1,4060.06
387,152,14,2,1829.48
388,152,7,2,4950.77
389,153,16,1,4056.34
390,153,9,3,2615.73
391,153,16,2,4056.34
392,153,14,3,1829.48
393,154,15,1,1503.28
394,154,6,3,3094.29
395,154,16,1,4056.34
396,154,5,1,531.02
397,155,5,2,531.02
398,155,8,2,743.42
399,156,18,3,4342.01
400,157,14,1,1829.48
401,157,10,1,4393.0
402,157,20,1,2581.14
403,158,4,1,2871.8
404,159,3,2,3495.35
405,160,5,2,531.02
406,160,18,1,4342.01
407,160,13,3,3527.3
408,160,11,2,3716.8
409,161,18,1,4342.01
410,162,16,3,4056.34
411,162,19,1,4570.54
412,162,20,1,2581.14
413,162,19,1,4570.54
414,163,7,2,4950.77
415,163,18,3,4342.01
416,163,15,3,1503.28
417,163,3,1,3495.35
418,164,8,2,743.42
419,165,2,3,4683.97
420,165,17,2,4060.06
421,165,4,2,2871.8
422,165,3,3,3495.35
423,166,20,1,2581.14
424,166,2,2,4683.97
425,166,6,1,3094.29
426,166,2,1,4683.97
427,167,13,3,3527.3
428,168,2,1,4683.97
429,168,1,1,2806.17
430,168,19,2,4570.54
431,168,2,1,4683.97
432,169,4,3,2871.8
433,170,15,2,1503.28
434,171,4,1,2871.8
435,171,6,3,3094.29
436,171,19,3,4570.54
437,172,6,1,3094.29
438,172,10,1,4393.0
439,172,13,1,3527.3
440,173,9,1,2615.73
441,174,6,2,3094.29
442,174,4,1,2871.8
443,174,15,3,1503.28
444,174,10,1,4393.0
445,175,6,3,3094.29
446,175,9,3,2615.73
447,175,17,3,4060.06
448,175,9,3,2615.73
449,176,6,1,3094.29
450,177,1,2,2806.17
451,177,6,2,3094.29
452,178,11,3,3716.8
453,178,11,3,3716.8
454,178,15,3,1503.28
455,179,3,1,3495.35
456,179,18,2,4342.01
457,179,9,1,2615.73
458,179,3,3,3495.35
459,180,6,3,3094.29
460,180,20,1,2581.14
461,180,4,3,2871.8
462,180,15,2,1503.28
463,181,17,2,4060.06
464,182,19,2,4570.54
465,182,10,1,4393.0
466,182,7,2,4950.77
467,182,13,1,3527.3
468,183,14,3,1829.48
469,184,9,1,2615.73
470,185,7,2,4950.77
471,185,3,2,3495.35
472,185,18,1,4342.01
473,186,4,1,2871.8
474,187,5,3,531.02
475,188,20,1,2581.14
476,188,10,3,4393.0
477,188,1,3,2806.17
478,189,11,3,3716.8
479,189,2,2,4683.97
480,189,3,2,3495.35
481,189,3,3,3495.35
482,190,17,3,4060.06
483,190,15,2,1503.28
484,191,4,1,2871.8
485,191,16,1,4056.34
486,191,14,3,1829.48
487,192,1,3,2806.17
488,192,6,1,3094.29
489,192,16,2,4056.34
490,193,9,2,2615.73
491,193,13,3,3527.3
492,193,19,2,4570.54
493,193,2,1,4683.97
494,194,18,3,4342.01
495,194,15,3,1503.28
496,194,14,3,1829.48
497,195,7,2,4950.77
498,195,14,3,1829.48
499,195,5,3,531.02
500,196,17,2,4060.06
501,196,16,2,4056.34
502,196,4,2,2871.8
503,197,15,3,1503.28
504,197,16,1,4056.34
505,197,1,2,2806.17
506,197,1,2,2806.17
507,198,13,2,3527.3
508,198,9,2,2615.73
509,198,9,2,2615.73
510,199,17,2,4060.06
511,199,2,1,4683.97
512,199,3,3,3495.35
513,200,20,3,2581.14
514,200,10,2,4393.0
515,200,15,1,1503.28
516,200,1,2,2806.17
517,201,17,2,4060.06
518,202,12,1,3500.23
519,202,6,3,3094.29
520,202,1,2,2806.17
521,202,17,2,4060.06
522,203,20,2,2581.14
523,203,20,3,2581.14
524,203,17,1,4060.06
525,203,10,2,4393.0
526,204,11,2,3716.8
527,204,7,1,4950.77
528,204,8,1,743.42
529,204,7,2,4950.77
530,205,14,3,1829.48
531,205,6,3,3094.29
532,205,10,1,4393.0
533,205,14,2,1829.48
534,206,1,3,2806.17
535,206,4,1,2871.8
536,206,9,1,2615.73
537,206,7,2,4950.77
538,207,10,3,4393.0
539,207,5,3,531.02
540,207,7,2,4950.77
541,207,5,3,531.02
542,208,17,1,4060.06
543,208,16,1,4056.34
544,209,13,3,3527.3
545,209,20,1,2581.14
546,210,19,1,4570.54
547,210,2,2,4683.97
548,210,12,2,3500.23
549,211,10,1,4393.0
550,212,18,1,4342.01
551,213,18,3,4342.01
552,213,6,1,3094.29
553,213,19,1,4570.54
554,213,9,2,2615.73
555,214,7,1,4950.77
556,214,13,2,3527.3
557,214,3,2,3495.35
558,215,15,3,1503.28
559,215,11,1,3716.8
560,216,6,3,3094.29
561,216,10,1,4393.0
562,216,3,3,3495.35
563,217,8,1,743.42
564,217,1,2,2806.17
565,217,11,1,3716.8
566,217,12,2,3500.23
567,218,10,2,4393.0
568,218,15,1,1503.28
569,218,3,1,3495.35
570,219,12,2,3500.23
571,219,19,1,4570.54
572,219,8,2,743.42
573,219,7,2,4950.77
574,220,13,2,3527.3
575,220,1,1,2806.17
576,220,12,2,3500.23
577,221,20,3,2581.14
578,222,7,1,4950.77
579,223,1,2,2806.17
580,223,19,3,4570.54
581,223,4,2,2871.8
582,223,6,2,3094.29
583,224,10,2,4393.0
584,224,9,1,2615.73
585,224,14,1,1829.48
586,224,15,1,1503.28
587,225,6,3,3094.29
588,226,18,2,4342.01
589,226,16,1,4056.34
590,226,14,3,1829.48
591,226,16,1,4056.34
592,227,7,1,4950.77
593,227,6,3,3094.29
594,227,14,3,1829.48
595,227,1,3,2806.17
596,228,7,2,4950.77
597,228,2,3,4683.97
598,228,3,3,3495.35
599,228,19,1,4570.54
600,229,12,1,3500.23
601,229,1,3,2806.17
602,230,3,1,3495.35
603,230,20,3,2581.14
604,230,8,3,743.42
605,230,6,1,3094.29
606,231,8,1,743.42
607,231,4,1,2871.8
608,232,11,3,3716.8
609,232,11,3,3716.8
610,233,19,1,4570.54
611,233,7,1,4950.77
612,233,8,1,743.42
613,233,12,2,3500.23
614,234,11,1,3716.8
615,235,13,2,3527.3
616,235,17,2,4060.06
617,235,13,2,3527.3
618,235,7,1,4950.77
619,236,16,3,4056.34
620,236,20,2,2581.14
621,237,2,1,4683.97
622,237,1,3,2806.17
623,237,12,2,3500.23
624,238,3,2,3495.35
625,238,4,3,2871.8
626,238,4,2,2871.8
627,239,14,2,1829.48
628,239,8,3,743.42
629,240,18,2,4342.01
630,240,7,2,4950.77
631,240,14,1,1829.48
632,241,20,2,2581.14
633,241,16,2,4056.34
634,241,16,3,4056.34
635,242,4,3,2871.8
636,242,3,1,3495.35
637,242,12,1,3500.23
638,243,9,1,2615.73
639,243,7,3,4950.77
640,243,12,1,3500.23
641,244,20,2,2581.14
642,244,9,1,2615.73
643,244,14,3,1829.48
644,245,12,3,3500.23
645,246,1,1,2806.17
646,246,14,1,1829.48
647,246,11,1,3716.8
648,247,12,1,3500.23
649,247,3,1,3495.35
650,247,9,3,2615.73
651,248,5,2,531.02
652,248,20,3,2581.14
653,249,17,3,4060.06
654,249,5,2,531.02
655,250,19,1,4570.54
656,250,18,1,4342.01
657,251,16,1,4056.34
658,251,12,3,3500.23
659,252,7,1,4950.77
660,253,2,2,4683.97
661,254,1,3,2806.17
662,254,7,3,4950.77
663,255,4,1,2871.8
664,255,1,1,2806.17
665,256,7,2,4950.77
666,256,18,1,4342.01
667,256,17,1,4060.06
668,256,14,3,1829.48
669,257,1,3,2806.17
670,257,19,1,4570.54
671,257,8,1,743.42
672,257,10,1,4393.0
673,258,15,2,1503.28
674,258,2,3,4683.97
675,258,20,1,2581.14
676,259,12,3,3500.23
677,260,1,3,2806.17
678,261,4,2,2871.8
679,262,13,3,3527.3
680,262,18,1,4342.01
681,262,20,3,2581.14
682,262,8,1,743.42
683,263,15,3,1503.28
684,263,12,2,3500.23
685,263,15,2,1503.28
686,264,10,3,4393.0
687,264,13,3,3527.3
688,265,15,3,1503.28
689,265,14,1,1829.48
690,266,6,3,3094.29
691,266,15,2,1503.28
692,266,14,2,1829.48
693,266,18,3,4342.01
694,267,2,2,4683.97
695,267,19,3,4570.54
696,267,10,2,4393.0
697,267,16,1,4056.34
698,268,15,2,1503.28
699,268,13,1,3527.3
700,268,6,3,3094.29
701,268,18,3,4342.01
702,269,13,2,3527.3
703,269,6,1,3094.29
704,269,6,3,3094.29
705,269,19,1,4570.54
706,270,3,3,3495.35
707,271,9,1,2615.73
708,271,9,3,2615.73
709,271,16,1,4056.34
710,271,18,2,4342.01
711,272,16,3,4056.34
712,272,8,3,743.42
713,272,10,2,4393.0
714,273,2,1,4683.97
715,274,1,2,2806.17
716,274,18,1,4342.01
717,275,7,2,4950.77
718,276,20,3,2581.14
719,276,16,2,4056.34
720,276,12,2,3500.23
721,277,15,3,1503.28
722,277,7,1,4950.77
723,277,17,2,4060.06
724,278,8,1,743.42
725,279,9,1,2615.73
726,279,6,2,3094.29
727,279,2,1,4683.97
728,280,1,1,2806.17
729,280,2,1,4683.97
730,280,9,1,2615.73
731,281,13,2,3527.3
732,282,19,1,4570.54
733,283,18,3,4342.01
734,284,18,2,4342.01
735,284,5,1,531.02
736,284,16,1,4056.34
737,284,4,2,2871.8
738,285,14,1,1829.48
739,286,5,2,531.02
740,286,13,1,3527.3
741,286,3,2,3495.35
742,286,1,3,2806.17
743,287,13,1,3527.3
744,287,15,1,1503.28
745,287,17,3,4060.06
746,288,5,3,531.02
747,289,16,1,4056.34
748,289,17,2,4060.06
749,289,14,3,1829.48
750,289,12,2,3500.23
751,290,19,1,4570.54
752,291,16,3,4056.34
753,291,13,1,3527.3
754,292,12,1,3500.23
755,292,20,2,2581.14
756,292,13,2,3527.3
757,293,9,2,2615.73
758,293,14,2,1829.48
759,294,6,1,3094.29
760,294,10,3,4393.0
761,294,8,3,743.42
762,294,9,2,2615.73
763,295,18,2,4342.01
764,295,19,1,4570.54
765,296,10,2,4393.0
766,297,11,2,3716.8
767,297,20,1,2581.14
768,297,10,1,4393.0
769,297,13,1,3527.3
770,298,19,2,4570.54
771,298,14,1,1829.48
772,298,7,1,4950.77
773,299,8,2,743.42
774,299,12,1,3500.23
775,299,14,1,1829.48
776,299,4,3,2871.8
777,300,8,2,743.42
778,300,16,2,4056.34
779,300,4,2,2871.8
780,300,9,3,2615.73
781,301,7,1,4950.77
782,301,5,2,531.02
783,301,12,3,3500.23
784,302,19,2,4570.54
785,302,1,2,2806.17
786,303,13,2,3527.3
787,304,9,1,2615.73
788,304,5,3,531.02
789,304,1,2,2806.17
790,305,19,2,4570.54
791,305,7,3,4950.77
792,306,10,2,4393.0
793,306,10,3,4393.0
794,307,7,1,4950.77
795,308,3,3,3495.35
796,308,13,3,3527.3
797,308,19,3,4570.54
798,308,12,2,3500.23
799,309,3,3,3495.35
800,310,15,1,1503.28
801,311,20,3,2581.14
802,311,3,3,3495.35
803,311,7,2,4950.77
804,312,8,3,743.42
805,312,4,2,2871.8
806,313,13,1,3527.3
807,313,5,3,531.02
808,313,6,1,3094.29
809,313,13,3,3527.3
810,314,10,3,4393.0
811,314,19,3,4570.54
812,314,14,1,1829.48
813,314,14,1,1829.48
814,315,11,1,3716.8
815,315,10,3,4393.0
816,315,3,3,3495.35
817,315,10,1,4393.0
818,316,20,2,2581.14
819,316,1,3,2806.17
820,316,16,2,4056.34
821,317,16,3,4056.34
822,317,3,2,3495.35
823,318,12,1,3500.23
824,318,11,1,3716.8
825,318,7,3,4950.77
826,319,11,1,3716.8
827,319,17,2,4060.06
828,319,8,3,743.42
829,320,9,2,2615.73
830,320,1,1,2806.17
831,320,6,2,3094.29
832,320,12,1,3500.23
833,321,15,3,1503.28
834,322,9,3,2615.73
835,322,2,3,4683.97
836,322,13,2,3527.3
837,323,5,2,531.02
838,323,5,3,531.02
839,324,5,3,531.02
840,324,12,3,3500.23
841,324,8,2,743.42
842,324,3,2,3495.35
843,325,16,2,4056.34
844,325,13,1,3527.3
845,326,14,2,1829.48
846,326,2,2,4683.97
847,326,16,1,4056.34
848,326,2,2,4683.97
849,327,14,2,1829.48
850,328,1,3,2806.17
851,329,8,3,743.42
852,329,12,1,3500.23
853,329,18,2,4342.01
854,330,9,1,2615.73
855,330,13,3,3527.3
856,330,5,2,531.02
857,330,7,1,4950.77
858,331,4,2,2871.8
859,331,10,2,4393.0
860,331,11,1,3716.8
861,332,15,2,1503.28
862,332,20,3,2581.14
863,332,14,3,1829.48
864,332,10,1,4393.0
865,333,10,2,4393.0
866,333,17,1,4060.06
867,333,7,3,4950.77
868,333,12,2,3500.23
869,334,20,2,2581.14
870,334,19,2,4570.54
871,335,4,1,2871.8
872,335,8,2,743.42
873,335,11,1,3716.8
874,336,11,3,3716.8
875,336,19,2,4570.54
876,336,10,3,4393.0
877,336,15,2,1503.28
878,337,18,1,4342.01
879,337,3,3,3495.35
880,337,18,1,4342.01
881,337,7,3,4950.77
882,338,14,2,1829.48
883,339,6,3,3094.29
884,340,11,1,3716.8
885,340,13,1,3527.3
886,340,18,2,4342.01
887,340,1,1,2806.17
888,341,18,2,4342.01
889,341,4,1,2871.8
890,341,18,3,4342.01
891,341,14,2,1829.48
892,342,1,1,2806.17
893,343,20,1,2581.14
894,344,12,1,3500.23
895,344,19,2,4570.54
896,344,16,2,4056.34
897,345,14,2,1829.48
898,346,1,2,2806.17
899,346,11,3,3716.8
900,346,9,2,2615.73
901,347,12,3,3500.23
902,347,17,3,4060.06
903,348,8,1,743.42
904,348,20,3,2581.14
905,348,6,1,3094.29
906,348,8,2,743.42
907,349,2,1,4683.97
908,349,1,1,2806.17
909,349,16,3,4056.34
910,349,19,2,4570.54
911,350,11,2,3716.8
912,350,19,1,4570.54
913,351,12,3,3500.23
914,351,3,2,3495.35
915,351,8,3,743.42
916,352,5,1,531.02
917,353,5,3,531.02
918,353,14,2,1829.48
919,353,11,1,3716.8
920,354,20,2,2581.14
921,354,12,3,3500.23
922,354,4,1,2871.8
923,355,16,2,4056.34
924,355,11,2,3716.8
925,356,7,2,4950.77
926,356,6,2,3094.29
927,357,13,1,3527.3
928,357,4,2,2871.8
929,357,12,1,3500.23
930,358,17,2,4060.06
931,358,9,2,2615.73
932,359,15,3,1503.28
933,359,20,1,2581.14
934,359,12,3,3500.23
935,359,3,3,3495.35
936,360,10,3,4393.0
937,360,12,2,3500.23
938,360,20,1,2581.14
939,360,20,2,2581.14
940,361,11,3,3716.8
941,362,20,2,2581.14
942,362,8,1,743.42
943,362,4,2,2871.8
944,363,4,3,2871.8
945,363,7,3,4950.77
946,364,18,1,4342.01
947,364,6,3,3094.29
948,365,15,2,1503.28
949,365,8,2,743.42
950,365,4,1,2871.8
951,366,14,1,1829.48
952,366,17,2,4060.06
953,366,15,3,1503.28
954,366,14,2,1829.48
955,367,16,2,4056.34
956,368,1,2,2806.17
957,368,5,1,531.02
958,368,6,2,3094.29
959,368,10,2,4393.0
960,369,9,1,2615.73
961,369,18,3,4342.01
962,369,12,1,3500.23
963,369,19,3,4570.54
964,370,1,1,2806.17
965,371,8,2,743.42
966,371,6,3,3094.29
967,372,4,3,2871.8
968,372,10,3,4393.0
969,373,1,2,2806.17
970,373,12,2,3500.23
971,374,5,3,531.02
972,374,3,2,3495.35
973,375,9,3,2615.73
974,375,6,3,3094.29
975,375,18,3,4342.01
976,376,4,2,2871.8
977,376,8,3,743.42
978,376,3,2,3495.35
979,377,20,1,2581.14
980,377,7,1,4950.77
981,377,14,3,1829.48
982,378,3,1,3495.35
983,378,9,2,2615.73
984,378,2,2,4683.97
985,378,12,3,3500.23
986,379,1,2,2806.17
987,379,9,2,2615.73
988,380,18,1,4342.01
989,380,15,3,1503.28
990,380,12,3,3500.23
991,380,16,1,4056.34
992,381,11,3,3716.8
993,381,7,1,4950.77
994,381,19,3,4570.54
995,382,12,2,3500.23
996,383,16,1,4056.34
997,383,3,1,3495.35
998,384,19,2,4570.54
999,384,18,2,4342.01
1000,384,1,2,2806.17
1001,385,16,3,4056.34
1002,385,3,3,3495.35
1003,385,10,2,4393.0
1004,385,9,3,2615.73
1005,386,17,2,4060.06
1006,386,3,1,3495.35
1007,386,13,2,3527.3
1008,386,7,2,4950.77
1009,387,3,2,3495.35
1010,387,2,2,4683.97
1011,388,4,2,2871.8
1012,389,15,3,1503.28
1013,389,7,1,4950.77
1014,389,6,3,3094.29
1015,389,17,1,4060.06
1016,390,14,3,1829.48
1017,390,9,2,2615.73
1018,390,11,3,3716.8
1019,391,5,2,531.02
1020,391,3,3,3495.35
1021,391,14,1,1829.48
1022,391,4,2,2871.8
1023,392,6,1,3094.29
1024,392,6,2,3094.29
1025,392,19,1,4570.54
1026,392,5,2,531.02
1027,393,10,1,4393.0
1028,394,12,3,3500.23
1029,394,18,2,4342.01
1030,394,16,3,4056.34
1031,394,8,1,743.42
1032,395,9,3,2615.73
1033,395,15,3,1503.28
1034,395,20,3,2581.14
1035,396,14,2,1829.48
1036,396,16,3,4056.34
1037,396,19,3,4570.54
1038,397,7,1,4950.77
1039,397,8,1,743.42
1040,397,6,3,3094.29
1041,398,15,3,1503.28
1042,398,3,2,3495.35
1043,398,4,3,2871.8
1044,399,10,3,4393.0
1045,400,8,1,743.42
1046,400,2,1,4683.97
1047,401,12,2,3500.23
1048,401,1,3,2806.17
1049,401,11,2,3716.8
1050,402,19,3,4570.54
1051,402,1,3,2806.17
1052,403,14,2,1829.48
1053,404,9,3,2615.73
1054,405,3,1,3495.35
1055,405,16,2,4056.34
1056,405,18,1,4342.01
1057,406,3,2,3495.35
1058,406,17,3,4060.06
1059,406,19,3,4570.54
1060,407,13,2,3527.3
1061,407,6,3,3094.29
1062,407,4,2,2871.8
1063,407,8,3,743.42
1064,408,12,2,3500.23
1065,409,18,2,4342.01
1066,409,17,1,4060.06
1067,409,6,2,3094.29
1068,410,14,2,1829.48
1069,410,15,2,1503.28
1070,410,18,2,4342.01
1071,410,19,3,4570.54
1072,411,13,1,3527.3
1073,411,2,1,4683.97
1074,411,12,2,3500.23
