cliente_id,nome,cidade,data_cadastro
88,Cliente_88,Belo Horizonte,2023-09-12
89,Cliente_89,Uberlândia,2023-10-21
90,Cliente_90,Contagem,2023-10-07
91,Cliente_91,Uberlândia,2023-11-21
92,Cliente_92,Uberlândia,2023-04-08
93,Cliente_93,Contagem,2023-07-17
94,Cliente_94,Contagem,2023-08-28
95,Cliente_95,Contagem,2023-05-24
96,Cliente_96,Contagem,2023-04-07
97,Cliente_97,Contagem,2023-07-20
98,Cliente_98,Uberlândia,2023-05-04
99,Cliente_99,Contagem,2023-07-06
100,Cliente_100,Belo Horizonte,2023-11-22
101,Cliente_101,Betim,2023-12-15
102,Cliente_102,Contagem,2023-09-16
103,Cliente_103,Contagem,2023-05-28
104,Cliente_104,Uberlândia,2023-09-09
105,Cliente_105,Contagem,2023-12-12
106,Cliente_106,Contagem,2023-05-27
107,Cliente_107,Contagem,2023-05-28
108,Cliente_108,Uberlândia,2023-12-18
109,Cliente_109,Contagem,2023-07-18
110,Cliente_110,Betim,2023-11-04
111,Cliente_111,Uberlândia,2023-05-08
112,Cliente_112,Betim,2023-02-08
113,Cliente_113,Uberlândia,2023-12-04
114,Cliente_114,Contagem,2023-12-26
115,Cliente_115,Betim,2023-05-09
116,Cliente_116,Uberlândia,2023-09-24
117,Cliente_117,Belo Horizonte,2023-05-31
118,Cliente_118,Contagem,2023-10-25
119,Cliente_119,Uberlândia,2023-04-09
120,Cliente_120,Belo Horizonte,2023-09-20
121,Cliente_121,Uberlândia,2023-09-09
122,Cliente_122,Belo Horizonte,2023-05-24
123,Cliente_123,Contagem,2023-12-12
124,Cliente_124,Betim,2023-04-22
125,Cliente_125,Belo Horizonte,2023-03-01
126,Cliente_126,Uberlândia,2023-01-02
127,Cliente_127,Contagem,2023-10-31
128,Cliente_128,Belo Horizonte,2023-09-11
129,Cliente_129,Uberlândia,2023-05-20
130,Cliente_130,Uberlândia,2023-02-06
131,Cliente_131,Uberlândia,2023-06-09
132,Cliente_132,Belo Horizonte,2023-01-09
133,Cliente_133,Belo Horizonte,2023-08-21
134,Cliente_134,Belo Horizonte,2023-04-09
135,Cliente_135,Betim,2023-05-27
136,Cliente_136,Belo Horizonte,2023-10-31
137,Cliente_137,Belo Horizonte,2023-07-27
138,Cliente_138,Belo Horizonte,2023-05-11
139,Cliente_139,Betim,2023-06-01
140,Cliente_140,Belo Horizonte,2023-02-23
141,Cliente_141,Uberlândia,2023-04-30
142,Cliente_142,Belo Horizonte,2023-06-10
143,Cliente_143,Uberlândia,2023-04-26
144,Cliente_144,Uberlândia,2023-03-16
145,Cliente_145,Uberlândia,2023-04-23
146,Cliente_146,Betim,2023-04-14
147,Cliente_147,Betim,2023-12-06
148,Cliente_148,Betim,2023-09-11
149,Cliente_149,Belo Horizonte,2023-08-15
150,Cliente_150,Uberlândia,2023-04-22
151,Cliente_151,Betim,2023-04-09
152,Cliente_152,Betim,2023-06-02
153,Cliente_153,Belo Horizonte,2023-12-15
154,Cliente_154,Betim,2023-12-04
155,Cliente_155,Belo Horizonte,2023-07-13
156,Cliente_156,Contagem,2023-11-06
157,Cliente_157,Betim,2023-06-12
158,Cliente_158,Contagem,2023-07-27
159,Cliente_159,Belo Horizonte,2023-06-18
160,Cliente_160,Uberlândia,2023-06-10
161,Cliente_161,Betim,2023-03-09
162,Cliente_162,Belo Horizonte,2023-10-16
163,Cliente_163,Uberlândia,2023-10-04
164,Cliente_164,Uberlândia,2023-10-31
165,Cliente_165,Contagem,2023-05-15
166,Cliente_166,Belo Horizonte,2023-07-14
167,Cliente_167,Uberlândia,2023-05-08
168,Cliente_168,Betim,2023-02-02
169,Cliente_169,Betim,2023-06-25
170,Cliente_170,Contagem,2023-01-22
171,Cliente_171,Uberlândia,2023-08-26
172,Cliente_172,Belo Horizonte,2023-06-07
173,Cliente_173,Betim,2023-02-07
174,Cliente_174,Uberlândia,2023-08-18
175,Cliente_175,Uberlândia,2023-12-31
176,Cliente_176,Contagem,2023-02-20
177,Cliente_177,Betim,2023-09-21
178,Cliente_178,Betim,2023-10-10
179,Cliente_179,Belo Horizonte,2023-01-27
180,Cliente_180,Betim,2023-08-14
181,Cliente_181,Belo Horizonte,2023-10-04
182,Cliente_182,Betim,2023-10-13
183,Cliente_183,Contagem,2023-04-07
184,Cliente_184,Betim,2023-10-11
185,Cliente_185,Belo Horizonte,2023-11-13
186,Cliente_186,Belo Horizonte,2023-10-31
187,Cliente_187,Contagem,2023-05-27
188,Cliente_188,Betim,2023-01-04
189,Cliente_189,Betim,2023-02-04
190,Cliente_190,Contagem,2023-07-11
191,Cliente_191,Betim,2023-02-18
192,Cliente_192,Betim,2023-01-17
193,Cliente_193,Belo Horizonte,2023-06-21
194,Cliente_194,Betim,2023-08-08
195,Cliente_195,Betim,2023-06-07
196,Cliente_196,Contagem,2023-02-15
197,Cliente_197,Contagem,2023-01-06
198,Cliente_198,Uberlândia,2023-04-09
199,Cliente_199,Belo Horizonte,2023-08-21
200,Cliente_200,Betim,2023-02-06
