pedido_id,cliente_id,data_pedido,valor_total
190,183,2024-06-18,2890.69
191,13,2024-02-03,2442.63
192,23,2024-06-06,2862.66
193,99,2024-01-13,6219.76
194,105,2024-05-20,5324.83
195,30,2024-01-18,1563.04
196,17,2024-06-08,1475.46
197,113,2024-04-05,877.33
198,62,2024-05-02,5316.39
199,84,2024-02-08,6138.54
200,112,2024-02-15,2193.87
201,86,2024-01-29,265.47
202,141,2024-03-02,749.16
203,187,2024-01-16,7746.09
204,19,2024-04-30,2434.01
205,177,2024-01-10,6176.86
206,100,2024-06-06,5034.84
207,140,2024-06-01,3117.32
208,189,2024-04-12,1724.93
209,147,2024-03-24,1058.95
210,76,2024-05-12,4958.6
211,9,2024-03-05,6219.61
212,199,2024-06-25,5186.84
213,28,2024-01-03,4289.39
214,128,2024-06-21,431.41
215,52,2024-05-21,7751.06
216,83,2024-04-29,6409.84
217,111,2024-06-06,2413.29
218,144,2024-03-08,7841.77
219,117,2024-05-25,4854.86
220,69,2024-02-06,4701.14
221,99,2024-06-01,6009.78
222,140,2024-06-24,6512.98
223,25,2024-03-13,5286.18
224,180,2024-05-22,1111.96
225,123,2024-02-18,2772.31
226,53,2024-04-30,7431.86
227,151,2024-03-28,1874.46
228,144,2024-05-19,3040.12
229,57,2024-02-06,3513.41
230,39,2024-03-01,3571.3
231,109,2024-06-19,4942.22
232,181,2024-05-03,7550.3
233,42,2024-02-08,2001.47
234,186,2024-03-03,1059.86
235,167,2024-02-15,1660.02
236,142,2024-03-28,7106.71
237,122,2024-01-11,5201.91
238,133,2024-03-02,2358.66
239,163,2024-03-17,6545.98
240,75,2024-06-01,6904.82
241,146,2024-02-21,6787.46
242,76,2024-01-04,7359.52
243,9,2024-02-28,2092.7
244,74,2024-03-12,6064.83
245,186,2024-05-27,3738.26
246,145,2024-04-02,6751.79
247,7,2024-03-03,5855.08
248,174,2024-02-23,6233.93
249,141,2024-04-26,5283.68
250,168,2024-04-19,1501.69
251,170,2024-03-14,4405.71
252,137,2024-04-16,7878.89
253,178,2024-02-26,7505.37
254,27,2024-06-17,441.07
255,122,2024-01-03,1402.04
256,194,2024-04-29,1140.66
257,5,2024-01-06,5835.24
258,29,2024-01-05,6560.5
259,165,2024-01-05,1786.74
260,166,2024-02-23,4096.24
261,83,2024-02-16,6741.55
262,136,2024-06-25,5889.13
263,109,2024-01-09,4383.67
264,65,2024-04-08,4763.75
265,86,2024-01-20,4116.05
266,145,2024-05-01,2450.63
267,71,2024-03-01,4563.67
268,45,2024-05-02,5542.19
269,132,2024-06-11,6999.25
270,36,2024-06-26,5126.7
271,70,2024-03-22,6112.86
272,159,2024-03-02,1364.57
273,19,2024-05-24,3746.3
274,189,2024-01-03,173.72
275,108,2024-06-08,2048.76
276,182,2024-01-13,5839.05
277,167,2024-04-29,7935.3
278,91,2024-05-04,883.51
279,90,2024-03-29,3271.81
280,19,2024-03-13,6420.56
281,39,2024-03-08,1711.88
282,126,2024-05-21,4485.17
283,195,2024-04-10,5891.26
284,173,2024-04-07,4966.29
285,141,2024-01-11,1585.4
286,126,2024-04-14,2907.54
287,58,2024-03-07,6291.96
288,148,2024-05-02,4478.39
289,200,2024-01-29,141.31
290,61,2024-05-16,6111.83
291,127,2024-06-01,378.96
292,105,2024-03-16,5991.3
293,167,2024-06-18,1699.6
294,1,2024-01-09,7668.78
295,131,2024-02-09,3006.73
296,92,2024-01-25,2682.76
297,190,2024-01-05,1276.22
298,191,2024-05-18,2514.27
299,113,2024-05-03,7025.54
300,153,2024-02-07,7971.04
301,56,2024-03-12,3009.65
302,161,2024-05-12,3644.02
303,166,2024-06-24,5804.36
304,117,2024-03-30,7100.95
305,134,2024-05-25,4785.05
306,58,2024-02-06,3193.05
307,44,2024-02-29,3359.71
308,173,2024-06-24,5595.38
309,160,2024-01-28,125.42
310,173,2024-03-21,4994.76
311,61,2024-04-23,2908.39
312,47,2024-02-09,6374.16
313,149,2024-02-14,834.63
314,80,2024-03-02,4746.8
315,118,2024-04-02,3899.69
316,164,2024-04-24,5174.37
317,147,2024-03-07,612.34
318,20,2024-02-25,4681.87
319,185,2024-02-09,4535.73
320,146,2024-04-07,4529.21
321,47,2024-02-09,4867.55
322,49,2024-03-31,5444.1
323,14,2024-02-02,6459.41
324,143,2024-01-06,2231.58
325,159,2024-05-26,6617.89
326,1,2024-03-20,4036.22
327,117,2024-06-16,708.76
328,54,2024-04-01,562.55
329,118,2024-04-06,2740.48
330,3,2024-02-28,6300.69
331,144,2024-02-28,5690.68
332,185,2024-02-17,6330.06
333,12,2024-06-17,4186.43
334,74,2024-01-13,3577.57
335,16,2024-04-16,1264.87
336,200,2024-02-14,2692.72
337,102,2024-03-29,3528.75
338,152,2024-06-18,799.94
339,156,2024-04-09,1842.83
340,117,2024-06-03,4825.98
341,8,2024-06-14,5911.74
342,122,2024-01-07,7986.95
343,92,2024-05-12,7471.6
344,164,2024-02-14,5176.27
345,90,2024-02-27,3427.86
346,136,2024-01-31,5125.8
347,186,2024-01-23,6306.65
348,60,2024-06-18,1034.86
349,178,2024-05-17,3338.25
350,28,2024-06-08,6734.44
351,101,2024-04-16,3132.28
352,41,2024-06-06,4617.79
353,192,2024-02-08,4743.38
354,155,2024-06-07,1557.36
355,191,2024-03-22,2961.66
356,145,2024-04-09,2742.64
357,161,2024-01-02,306.95
358,157,2024-03-17,291.11
359,141,2024-01-12,6670.41
360,46,2024-02-08,2257.26
361,35,2024-01-13,4192.82
362,134,2024-02-15,2459.93
363,82,2024-06-03,7531.37
364,115,2024-04-22,2148.44
365,197,2024-01-17,3494.29
366,47,2024-04-13,6994.57
367,153,2024-04-07,6751.28
368,194,2024-03-28,1570.2
369,10,2024-04-18,6440.88
370,56,2024-06-11,3719.68
371,30,2024-03-10,3915.45
372,109,2024-06-06,1154.49
373,5,2024-03-14,736.75
374,119,2024-03-03,5850.72
375,33,2024-06-04,4022.04
376,118,2024-02-29,3551.12
377,65,2024-03-19,5863.12
378,146,2024-02-06,6147.55
379,177,2024-01-22,1355.37
380,11,2024-05-27,4920.78
381,85,2024-04-05,1169.3
382,26,2024-03-08,6035.86
383,63,2024-01-17,5289.95
384,86,2024-01-12,7657.26
385,59,2024-05-29,644.77
386,27,2024-05-24,550.73
387,177,2024-05-17,2329.28
388,161,2024-04-27,2167.47
389,98,2024-01-22,2051.13
390,105,2024-04-29,7259.41
391,99,2024-02-19,2071.41
392,129,2024-01-14,2248.4
393,149,2024-06-23,6099.25
394,55,2024-01-29,3652.94
395,6,2024-06-12,6236.01
396,197,2024-06-28,616.39
397,95,2024-05-04,3951.81
398,133,2024-01-07,365.55
399,102,2024-01-29,594.96
400,3,2024-05-18,7260.86
401,181,2024-02-02,1200.04
402,23,2024-05-13,4306.12
403,53,2024-04-20,3347.66
404,165,2024-03-19,2844.01
405,83,2024-06-08,7208.68
406,145,2024-06-27,272.4
407,85,2024-02-27,5343.94
408,78,2024-01-26,7710.82
409,110,2024-06-22,4525.33
410,1,2024-01-29,7500.9
411,51,2024-01-04,512.84
412,173,2024-04-08,3408.47
413,4,2024-05-20,2155.25
414,190,2024-02-08,5873.49
415,193,2024-01-15,7852.25
416,113,2024-04-28,2126.59
417,32,2024-01-29,5267.98
418,34,2024-06-05,1664.97
419,92,2024-03-15,4566.11
420,95,2024-04-25,3765.07
421,72,2024-02-01,7778.84
422,39,2024-05-09,4907.37
423,154,2024-06-23,2861.1
424,162,2024-03-24,1001.36
425,182,2024-01-22,1294.85
426,118,2024-01-27,1880.0
427,3,2024-03-21,2082.64
428,123,2024-05-05,6819.87
429,50,2024-04-01,4533.66
430,12,2024-01-21,4234.79
431,193,2024-02-16,1006.67
432,54,2024-04-10,6895.1
433,133,2024-03-24,5810.23
434,57,2024-01-06,634.58
435,145,2024-05-26,5691.9
436,112,2024-05-10,4393.95
437,47,2024-01-01,745.63
438,151,2024-02-27,3720.58
439,85,2024-05-03,3929.1
440,142,2024-06-14,1409.62
441,66,2024-01-15,7571.02
442,75,2024-06-10,6814.81
443,179,2024-06-11,5385.28
444,103,2024-03-04,3752.13
445,166,2024-01-25,3352.95
446,192,2024-01-24,5242.69
447,38,2024-01-12,4408.91
448,50,2024-01-18,591.96
449,98,2024-01-15,4148.77
450,82,2024-01-27,6470.59
451,30,2024-03-12,3728.0
452,79,2024-02-29,510.46
453,91,2024-06-22,6311.6
454,179,2024-05-24,1690.77
455,191,2024-04-02,2143.1
456,52,2024-02-22,1401.18
457,166,2024-01-08,2708.7
458,79,2024-03-19,6078.34
459,30,2024-01-27,4203.15
460,106,2024-06-22,1718.56
461,51,2024-02-19,7034.86
462,81,2024-05-10,7048.7
463,133,2024-04-02,6977.57
464,29,2024-06-20,1986.49
465,132,2024-01-24,3664.79
466,138,2024-02-29,7881.42
467,184,2024-05-01,6198.9
468,145,2024-05-10,314.62
469,74,2024-05-27,615.12
470,17,2024-02-15,3765.06
471,84,2024-01-15,7282.84
472,69,2024-06-01,4355.74
473,34,2024-01-17,4032.72
474,6,2024-05-05,933.24
475,53,2024-03-24,5288.56
476,194,2024-01-09,6594.61
477,126,2024-06-14,3105.32
478,43,2024-06-24,6227.33
479,115,2024-03-03,7719.37
480,111,2024-04-26,1709.76
481,151,2024-05-09,4234.3
482,183,2024-03-28,2368.39
483,80,2024-03-12,6363.55
484,95,2024-05-18,4662.99
485,118,2024-03-04,5113.2
486,144,2024-03-12,6403.52
487,8,2024-01-21,3228.17
488,132,2024-01-18,7329.21
489,104,2024-03-04,4310.93
490,132,2024-03-22,1347.84
491,184,2024-04-19,5597.6
492,25,2024-04-04,6366.76
493,195,2024-06-14,2602.42
494,96,2024-02-01,6871.72
495,195,2024-01-11,7258.53
496,155,2024-02-14,2287.55
497,93,2024-02-02,7869.82
498,160,2024-04-11,1211.62
499,178,2024-06-17,1695.92
500,61,2024-05-15,1555.38
501,122,2024-01-11,7162.52
502,51,2024-06-27,5268.91
503,147,2024-03-28,1301.62
504,21,2024-02-10,3578.56
505,5,2024-05-24,4960.85
506,92,2024-03-16,759.37
507,170,2024-04-30,7071.09
508,61,2024-02-15,6448.47
509,22,2024-06-08,4091.13
510,149,2024-03-20,7740.3
511,70,2024-02-23,3400.31
512,1,2024-03-26,7874.47
513,133,2024-04-01,5376.57
514,12,2024-05-27,5113.9
515,90,2024-06-09,1411.04
516,46,2024-06-16,7067.23
517,34,2024-06-08,3477.17
518,177,2024-04-06,1381.64
519,78,2024-01-02,199.6
520,45,2024-02-02,4522.07
521,155,2024-06-06,4266.46
522,73,2024-06-09,5782.89
523,26,2024-03-17,7133.04
524,47,2024-04-25,727.31
525,121,2024-06-02,5878.82
526,56,2024-05-29,1580.55
527,94,2024-04-12,6879.6
528,107,2024-06-14,6570.6
529,63,2024-04-12,4372.27
530,48,2024-03-30,5710.92
531,61,2024-06-22,2583.37
532,81,2024-05-01,3822.23
533,26,2024-05-22,6590.93
534,36,2024-04-15,3728.2
535,1,2024-04-28,2926.61
536,8,2024-06-20,4004.28
537,113,2024-02-18,6643.17
538,99,2024-04-13,2748.14
539,180,2024-03-01,1472.72
540,47,2024-05-02,5724.91
541,127,2024-05-13,6625.23
542,56,2024-01-09,895.04
543,14,2024-01-06,1995.01
544,28,2024-03-13,1221.58
545,78,2024-04-12,2848.74
546,130,2024-06-08,3657.77
547,109,2024-02-10,6015.73
548,154,2024-04-23,5244.07
549,14,2024-01-08,5005.34
550,187,2024-03-12,2883.76
551,56,2024-06-26,6747.44
552,115,2024-04-01,3823.17
553,7,2024-03-02,7834.93
554,3,2024-03-24,5109.72
555,111,2024-03-02,1097.49
556,151,2024-04-20,5441.8
557,107,2024-05-06,2668.32
558,18,2024-01-07,5521.98
559,38,2024-03-24,650.17
560,115,2024-05-11,1481.56
561,15,2024-05-13,6860.32
562,192,2024-02-27,1894.72
563,119,2024-01-22,6712.62
564,28,2024-06-02,2306.28
565,39,2024-05-06,5178.77
566,185,2024-01-03,5583.79
567,17,2024-05-06,4149.97
568,86,2024-02-10,2511.95
569,126,2024-04-15,1779.89
570,44,2024-01-14,362.2
571,25,2024-01-12,2501.18
572,145,2024-03-27,5259.99
573,13,2024-01-12,7512.61
574,25,2024-05-20,6982.52
575,68,2024-01-25,6151.91
576,138,2024-02-14,6328.73
577,67,2024-05-01,5353.38
578,109,2024-05-26,2156.27
579,146,2024-02-24,7266.84
580,111,2024-04-09,5398.79
581,111,2024-06-21,4527.48
582,34,2024-05-15,976.82
583,111,2024-04-28,3631.74
584,8,2024-02-22,3736.83
585,168,2024-02-01,6930.05
586,113,2024-02-20,4418.52
587,83,2024-02-13,3105.16
588,42,2024-03-22,7816.72
589,169,2024-05-25,974.69
590,101,2024-05-29,3438.13
591,6,2024-02-06,431.99
592,180,2024-04-05,5945.24
593,26,2024-02-25,7352.8
594,64,2024-04-14,2312.29
595,187,2024-02-28,6880.9
596,184,2024-05-10,2408.52
597,59,2024-06-04,7295.08
598,109,2024-02-04,6056.3
599,198,2024-04-02,6458.76
600,121,2024-04-06,242.25
601,33,2024-05-14,7706.2
602,181,2024-03-16,5840.7
603,150,2024-02-18,2507.53
604,21,2024-04-03,6652.22
605,198,2024-06-07,2324.02
606,70,2024-01-24,6994.76
607,112,2024-05-27,989.39
608,4,2024-02-06,5659.12
609,94,2024-01-04,4371.52
610,75,2024-04-17,862.62
611,190,2024-05-05,2010.96
612,62,2024-01-20,197.99
613,94,2024-05-31,3803.27
614,95,2024-02-19,2480.0
615,152,2024-06-25,4827.02
616,55,2024-06-27,2448.18
617,137,2024-04-05,2469.36
618,131,2024-04-14,5971.23
619,31,2024-06-12,480.33
620,40,2024-04-26,7232.87
621,36,2024-04-07,6832.88
622,152,2024-03-06,5375.66
623,6,2024-03-19,4786.45
624,66,2024-06-10,7149.19
625,75,2024-06-12,1564.11
626,4,2024-01-06,723.86
627,79,2024-02-08,1992.13
628,134,2024-06-18,6377.17
629,118,2024-04-24,373.9
630,113,2024-05-04,4704.17
631,94,2024-01-12,7963.96
632,179,2024-05-10,6860.0
633,62,2024-01-18,4219.42
634,185,2024-02-09,602.76
635,194,2024-01-21,6667.85
636,79,2024-05-22,4831.93
637,136,2024-04-08,1007.97
638,26,2024-01-26,841.47
639,179,2024-01-08,7286.05
640,173,2024-04-09,5386.68
641,44,2024-03-27,6651.37
642,133,2024-02-11,7043.93
643,70,2024-06-20,4617.0
644,154,2024-01-14,4187.83
645,118,2024-03-18,3500.38
646,68,2024-01-02,2603.88
647,19,2024-04-28,3533.31
648,20,2024-02-06,6213.65
649,113,2024-03-09,4855.2
650,140,2024-06-14,7150.93
651,47,2024-02-10,3602.7
652,1,2024-03-02,4896.01
653,90,2024-02-29,5087.33
654,142,2024-05-04,4774.41
655,64,2024-04-20,5650.81
656,38,2024-01-14,1975.72
657,37,2024-03-24,4147.67
658,126,2024-05-09,923.38
659,139,2024-03-10,3137.64
660,100,2024-05-24,3952.57
661,77,2024-05-02,5252.57
662,3,2024-03-29,7609.2
663,161,2024-01-28,4845.14
664,134,2024-03-06,5974.39
665,178,2024-06-11,4099.5
666,10,2024-01-05,5109.42
667,5,2024-06-16,660.36
668,151,2024-06-12,2109.69
669,138,2024-02-14,2958.64
670,172,2024-05-30,3832.7
671,130,2024-02-16,460.63
672,13,2024-01-31,1206.19
673,168,2024-05-18,2286.83
674,130,2024-01-10,7775.11
675,84,2024-04-27,2717.64
676,65,2024-01-14,3908.12
677,63,2024-03-20,1649.17
678,101,2024-04-02,4925.16
679,73,2024-01-10,2317.4
680,17,2024-03-16,1735.24
681,9,2024-04-03,4180.92
682,143,2024-04-14,143.5
683,152,2024-01-01,160.55
684,38,2024-05-12,1830.64
685,163,2024-01-20,390.1
686,94,2024-01-08,953.4
687,95,2024-06-19,2777.0
688,49,2024-01-01,6440.43
689,69,2024-02-26,4619.18
690,62,2024-03-04,4150.08
691,188,2024-04-27,2418.56
692,178,2024-01-28,7460.85
693,78,2024-04-30,3236.42
694,117,2024-04-16,788.03
695,120,2024-06-13,4974.83
696,137,2024-06-23,999.32
697,162,2024-06-13,2827.26
698,76,2024-02-18,4108.55
699,35,2024-04-29,7006.36
700,1,2024-02-13,3999.02
701,40,2024-02-25,5647.84
702,64,2024-06-04,7943.25
703,150,2024-04-20,1138.76
704,60,2024-05-13,2270.38
705,64,2024-04-17,3217.15
706,93,2024-05-27,3432.44
707,72,2024-04-23,3347.07
708,11,2024-03-18,7270.13
709,105,2024-05-09,5740.86
710,14,2024-02-06,4902.45
711,60,2024-01-20,2544.04
712,30,2024-01-26,6607.94
713,35,2024-01-29,7644.98
714,165,2024-01-01,6587.47
715,5,2024-04-28,112.36
716,83,2024-02-04,5127.57
717,123,2024-02-28,503.97
718,78,2024-03-09,2135.1
719,154,2024-06-09,570.25
720,62,2024-06-27,4869.98
721,132,2024-01-12,5524.06
722,89,2024-01-20,1004.45
723,42,2024-02-12,3132.33
724,89,2024-05-05,3704.27
725,146,2024-02-19,3015.52
726,40,2024-01-29,1056.1
727,72,2024-02-08,3409.69
728,39,2024-06-19,6034.31
729,104,2024-06-26,660.96
730,14,2024-05-30,733.42
731,32,2024-06-20,2902.69
732,179,2024-02-07,7539.63
733,125,2024-03-24,5381.72
734,166,2024-05-30,5461.49
735,97,2024-05-07,2959.17
736,23,2024-05-05,4789.92
737,63,2024-02-14,180.04
738,143,2024-02-21,5125.16
739,153,2024-03-20,7314.97
740,145,2024-06-26,4939.33
741,194,2024-05-03,7002.22
742,53,2024-04-28,5819.39
743,104,2024-01-08,1052.41
744,104,2024-03-25,7229.38
745,179,2024-05-08,624.91
746,39,2024-01-08,4318.34
747,179,2024-06-05,1222.88
748,198,2024-04-05,192.48
749,134,2024-04-11,3434.07
750,67,2024-01-05,2430.82
751,135,2024-03-26,3939.4
752,179,2024-06-23,4659.88
753,200,2024-02-03,445.54
754,42,2024-02-24,1071.73
755,192,2024-04-28,4513.27
756,15,2024-06-19,2811.02
757,111,2024-06-06,5860.47
758,157,2024-04-23,5253.1
759,33,2024-05-24,6780.27
760,155,2024-01-26,5570.69
761,164,2024-05-15,3496.46
762,157,2024-02-16,5416.44
763,38,2024-04-22,2275.51
764,185,2024-03-16,2519.88
765,97,2024-03-12,6332.98
766,155,2024-03-29,3626.71
767,183,2024-02-15,6407.2
768,33,2024-02-02,6597.14
769,196,2024-01-01,6874.74
770,86,2024-05-26,7341.42
771,66,2024-01-31,3504.78
772,10,2024-05-21,2619.05
773,5,2024-02-22,4699.37
774,123,2024-02-17,3032.26
775,74,2024-03-09,4848.49
776,97,2024-04-14,5674.13
777,118,2024-03-30,5538.4
778,38,2024-03-03,3058.97
779,141,2024-03-13,1418.2
780,159,2024-06-09,3501.18
781,47,2024-06-17,1226.49
782,109,2024-03-29,7131.77
783,180,2024-06-24,2832.43
784,184,2024-01-13,1320.23
785,15,2024-03-13,301.04
786,157,2024-03-17,5202.0
787,136,2024-06-07,5131.53
788,5,2024-03-08,2790.77
789,157,2024-04-07,666.52
790,47,2024-05-04,3336.07
791,68,2024-04-11,2558.62
792,76,2024-05-11,5449.25
793,173,2024-04-11,4885.66
794,130,2024-01-19,2980.29
795,155,2024-03-22,1821.35
796,95,2024-05-20,7905.48
797,115,2024-01-23,3686.61
798,164,2024-03-23,5537.37
799,36,2024-04-18,1210.37
800,26,2024-03-15,3936.16
801,43,2024-05-08,317.54
802,27,2024-03-28,4093.1
803,69,2024-02-23,7715.74
804,148,2024-03-29,3135.23
805,11,2024-05-22,408.07
806,74,2024-03-05,344.55
807,104,2024-03-16,3165.1
808,38,2024-05-22,1364.2
809,134,2024-05-28,284.48
810,200,2024-05-26,6074.09
811,23,2024-02-29,3722.33
812,47,2024-04-02,2385.03
813,90,2024-06-09,7210.66
814,46,2024-02-18,1017.5
815,107,2024-02-04,7651.76
816,140,2024-06-20,2580.34
817,141,2024-04-11,7118.39
818,104,2024-01-11,4863.25
819,190,2024-04-08,6630.99
820,111,2024-04-19,7873.7
821,104,2024-03-14,2378.4
822,60,2024-06-22,7692.97
823,171,2024-01-09,3176.91
824,100,2024-01-03,3145.54
825,68,2024-03-25,2789.06
826,133,2024-01-26,4377.12
827,120,2024-03-12,1317.75
828,37,2024-02-17,4474.32
829,72,2024-06-04,4379.47
830,127,2024-04-26,6119.02
831,106,2024-06-02,6685.83
832,92,2024-06-01,3579.49
833,31,2024-01-12,2488.43
834,122,2024-05-12,2148.75
835,137,2024-02-17,1637.53
836,51,2024-02-06,555.42
837,29,2024-02-13,2805.34
838,40,2024-01-15,2234.96
839,41,2024-02-12,7734.7
840,11,2024-06-24,4505.9
841,151,2024-03-27,2843.49
842,1,2024-03-10,4685.69
843,46,2024-02-15,1199.65
844,101,2024-04-17,3607.95
845,149,2024-05-02,5047.25
846,90,2024-06-19,3962.29
847,110,2024-01-21,3274.05
848,164,2024-05-30,7951.4
849,182,2024-04-16,7054.49
850,57,2024-03-20,5024.91
851,1,2024-02-16,4598.08
852,63,2024-04-26,5003.22
853,182,2024-05-03,1690.37
854,55,2024-05-22,3221.59
855,115,2024-01-25,411.73
856,168,2024-02-05,3856.81
857,143,2024-02-20,4389.89
858,149,2024-01-15,1899.22
859,175,2024-03-08,7715.83
860,53,2024-01-21,7284.69
861,137,2024-05-20,5804.93
862,180,2024-01-19,4313.75
863,57,2024-02-03,6972.76
864,117,2024-03-18,1132.15
865,154,2024-05-04,6345.03
866,169,2024-04-26,1086.08
867,35,2024-02-21,6374.26
868,63,2024-01-27,2278.56
869,25,2024-06-05,7029.02
870,90,2024-06-04,7557.93
871,75,2024-02-04,1275.49
872,38,2024-05-15,3755.14
873,130,2024-05-23,7849.8
874,135,2024-04-15,3918.92
875,162,2024-06-12,6922.03
876,91,2024-06-06,4750.98
877,17,2024-05-25,3065.11
878,128,2024-01-02,2357.69
